key,displayName,aliases,description,fieldKind,dataType,primaryTopic,cursorPriority,confidence,ambiguity,usageCount,distinctDescriptions,sourceDatabases,notes
lease_term_months,Lease Term Months,"['LEASE TERM MONTHS', 'Lease Term (Months)', 'Lease Term Months']","Displays the number of months in the lease interval based on what is shown in the Resident Profile under Leases >> Lease Dates >> Lease Term column. For integer-based lease terms (i.e. conventional), this value is the Lease Term converted to a simple integer. For date-based lease terms (i.e. student), this value is calculated by dividing the number of days between Renewal Billing Start and All Billing End by the number of days per month in an average year. Month-to-month lease intervals will show 0.00.",metric,integer,quantity,core,medium,high,210,23,['reports'],
rentable_units,Rentable Units,"['RENTABLE UNITS', 'Rentable Units']","Displays the count of units that are rented by residents or are available to be rented by leads as of the end of the period selected. You can manage whether exclusion reasons are included in this count under Setup >> Property >> [Select Property] >> Property >> Floor Plans & Units >> Unit Availability / Search >> Exclusion Reasons >> Report As Rentable. The settings can be adjusted per exclusion reason. A unit is either considered excluded or rentable. If a unit is rentable, it may be shown in a unit status column in addition to the rentable units column.",metric,integer,quantity,core,medium,high,179,26,['reports'],
prior_lease_rent,Prior Lease Rent,['Prior Lease Rent'],This column will display a monetary value that represents the recurring rent type charges that have been created for each listed household as of the report date for the lease prior to the new lease that was created that is associated to the displayed unit/unit space.,metric,currency,financial,core,medium,high,145,20,['reports'],
space_option,Space Option,"['SPACE OPTION', 'Space Option']","Displays the the space option that is associated to the unit space. For vacant unit spaces, all space options available for the space will display, separated by commas. For occupied unit spaces, the specific space option associated to the resident's lease will display. This column is only available for clients with the Entrata Student product.",metric,percent,percent,core,medium,high,131,27,['reports'],
bedroom_count,Bedroom Count,['Bedroom Count'],"This column will display the bedroom counts (example: 1, 2, 3, etc) based on all Floor Plans within the selected properties.",metric,integer,quantity,core,high,medium,118,11,['reports'],
actual_charges,Actual Charges,"['Actual (Charges)', 'Actual Charges']",Displays the sum of all charges that have been posted in the period selected based on the charge codes selected in the Charge Codes filter.,metric,currency,financial,core,high,medium,109,11,['reports'],
applications_completed,Applications Completed,"['APPLICATIONS COMPLETED', 'Applications Completed']",Counts the number of primary leads that have reached a status of Application Partially Completed or Application Completed. For more information click here .,metric,integer,quantity,core,high,medium,102,17,['reports'],
first_visit_tour,First Visit/Tour,"['FIRST VISIT/TOUR', 'First Visit/Tour']","Counts the number of primary leads with an initial onsite visit, property tour, or unit tour listed on the activity log. This column will exclude return visits. Events that are deleted from the activity log will not be included. Events with a missed, cancelled, or reschduled event are not included.",metric,integer,quantity,core,high,medium,102,11,['reports'],
lease_completed_cancelled,Lease Completed (Cancelled),"['Lease - Completed (Cancelled)', 'Lease Completed (Cancelled)']",Counts the number of primary leads that reached a status of Lease Completed and are cancelled/archived. For more information click here,metric,integer,quantity,core,high,medium,102,10,['reports'],
number_in_household,# in Household,"['# IN HOUSEHOLD', '# In Household', '# in Household']",Displays the number of persons living in the unit.,metric,integer,quantity,core,medium,medium,96,9,['reports'],
days_vacant,Days Vacant,"['DAYS VACANT', 'Days Vacant']",The Days Vacant column will display a number that represents the number of days that have elapsed starting form the previous household's move-out date up until the date in which the report was generated. This column won't populate for units in a 'Notice' or 'Occupied' status as these units are currently occupied by residents.,metric,integer,quantity,core,medium,high,91,20,['reports'],
deposit_charged,Deposit Charged,['Deposit Charged'],Displays the total amount of deposits charged to the resident's active lease interval.,metric,currency,financial,core,medium,medium,91,9,['reports'],
unit_space,Unit/Space,"['Unit Space', 'Unit/Space']",The number of units/spaces of each floor plan.,metric,integer,quantity,core,medium,medium,91,16,['reports'],
unit_count,Unit Count,"['UNIT COUNT', 'Unit Count']",This column displays the unit count # for the selected property. This column can be enabled in Display Options.,metric,integer,quantity,core,medium,medium,89,16,['reports'],
avg_market_rent,Avg. Market Rent,"['AVG. MARKET RENT', 'Avg Market Rent', 'Avg. Market Rent']",Displays an amount that represents the avg. market rent for all occupied or on notice units that are displayed in the report as of the end of the user-defined period (essentially only including averages for rentable items that have a market rent value displayed).,metric,currency,financial,core,medium,medium,88,13,['reports'],
scheduled_appointments,Scheduled Appointments,['Scheduled Appointments'],"Counts the number of appointments scheduled in the timeframe selected, or the number of appointments scheduled for leads created in the timeframe selected. The results depend on the selection of the Results Based on filter.",metric,integer,quantity,core,high,low,81,6,['reports'],
job_cost_code,Job Cost Code,"['JOB COST CODE', 'Job Cost Code']",This column will display the job cost code associated with the line item of the invoice.,metric,currency,financial,core,medium,medium,80,14,['reports'],
lease_term_name,Lease Term Name,"['LEASE TERM NAME', 'Lease Term Name']","This column displays the name of lease term associated to the person. If a name has not been given to the lease term it will be blank. (This information is used for most student properties.) It is found in the resident profile under Lease, Lease Dates, Lease Term and on the lead profile under the application and unit preference tab.",metric,integer,quantity,core,medium,medium,80,9,['reports'],
utility_allowance,Utility Allowance,['Utility Allowance'],Displays the utility allowance amount on the household's certification that is effective as of the end of the period selected. This column is only available for clients with the Entrata Affordable product.,metric,currency,financial,core,medium,medium,79,9,['reports'],
avg_budgeted_rent,Avg. Budgeted Rent,"['AVG BUDGETED RENT', 'Avg Budgeted Rent', 'Avg. Budgeted Rent']",Displays an amount that represents the avg. budgeted rent for all occupied or on notice units that are displayed in the report as of the end of the user-defined period (essentially only including averages for rentable items that have a budgeted rent value displayed).,metric,currency,financial,core,medium,medium,77,11,['reports'],
pre_payments,Pre-payments,"['PRE-PAYMENTS', 'Pre-Payments', 'Pre-payments', 'Pre_Payments']","Displays the total amount of unallocated payments (including negative payments, payments-in-kind, etc.) as of the end of the period selected.",metric,currency,financial,core,medium,medium,76,10,['reports'],
tenant_rent,Tenant Rent,['Tenant Rent'],Displays the tenant rent amount on the household's certification that is effective as of the end of the period selected. This column is only available for clients with the Entrata Affordable product.,metric,currency,financial,core,medium,medium,76,8,['reports'],
occupied_units,Occupied Units,['Occupied Units'],"Displays the count of units that are occupied by residents as of the end of the period selected. Occupied units are units in a status of Occupied No Notice, Notice Rented, and Notice Unrented.",metric,integer,quantity,core,medium,medium,75,17,['reports'],
applications_approved,Applications Approved,"['APPLICATIONS APPROVED', 'Applications Approved']",Counts the number of primary leads that have reached a status of Application Approved. For more information click here .,metric,integer,quantity,core,medium,medium,74,15,['reports'],
military_rank,Military Rank,['Military Rank'],Displays the resident's rank. Military Rank is found under Resident Profile >> Household >> [Select Primary Resident] >> Summary >> Military Career. This column is only available for clients with the Entrata Military product.,metric,integer,quantity,core,high,low,73,4,['reports'],
applications_denied,Applications Denied,['Applications Denied'],"Counts the number of primary leads that have reached a status of Application Partially Completed or Application Completed, (no further), and are cancelled/archived with a denial reason. For more information click here .",metric,integer,quantity,core,medium,medium,71,10,['reports'],
effective_rent,Effective Rent,['Effective Rent'],"Displays the sum of Lease Rent, Recurring Concessions per Lease Term (Months), and One-time Concessions per Lease Term (Months). Month-to-month lease intervals are calculated as the sum of active (at the end of the lease for lease intervals in Past status) recurring Scheduled Charges included in Effective Rent. If no Prior Lease Rent is active at that time, this column will be NULL so that it will not be considered in report averages. This column is not affected by the Charge Codes filter.",metric,currency,financial,core,medium,medium,71,15,['reports'],
percent_variance,% Variance,['% Variance'],The $ Variance divided by the budget amount for the listed period.,metric,percent,percent,core,medium,medium,69,8,['reports'],
subsidy_rent,Subsidy Rent,['Subsidy Rent'],Displays the subsidy rent amount on the household's certification that is effective as of the end of the period selected. This column is only available for clients with the Entrata Affordable product.,metric,currency,financial,core,high,low,69,7,['reports'],
property_tours,Property Tours,['Property Tours'],"All Property Tours logged within the period selected. Deleted, missed, rescheduled, and cancelled tours are excluded. The setting to combine tours as onsite visits will not affect the report. A custom column to combine tours and onsite visits can be added using the formula tool.",metric,integer,quantity,core,high,low,68,5,['reports'],
total_occupancy,Total Occupancy,['Total Occupancy'],Displays a sum of all columns for each pay grade.,metric,percent,percent,core,high,low,68,3,['reports'],
unit_tours,Unit Tours,['Unit Tours'],"All tours logged within the period selected that have a unit selected. Deleted, missed, rescheduled, and cancelled tours are excluded. The setting to combine tours as onsite visits will not affect the report. A custom column to combine tours and onsite visits can be added using the formula tool.",metric,integer,quantity,core,high,low,67,4,['reports'],
application_completed_cancelled,Application Completed (Cancelled),"['Application - Completed (Cancelled)', 'Application Completed (Cancelled)']",Counts the number of primary leads that have reached a status of Application Partially Completed or Application Completed and are cancelled/archived with a reason other than denied. For more information click here .,metric,integer,quantity,core,medium,medium,66,9,['reports'],
leases_completed,Leases Completed,"['LEASES COMPLETED', 'Leases Completed']",Counts the number of primary leads that have reached a status of Lease Completed. For more information click here .,metric,integer,quantity,core,medium,medium,66,9,['reports'],
leases_approved,Leases Approved,"['LEASES APPROVED', 'Leases Approved']",Counts the number of primary leads that have reached a status of Lease Approved. For more information click here .,metric,integer,quantity,core,medium,medium,63,11,['reports'],
rentable_sqft,Rentable Sqft,"['Rentable SQFT', 'Rentable Sqft']","Displays the total rentable sqft that is available for each displayed suite. This column header is dynamic, and may display 'SQFT', 'M2', or 'Unit of Area', depending on the property's setting for Unit of Measurement.",metric,number,quantity,core,medium,medium,61,8,['reports'],
utility_reimbursement,Utility Reimbursement,['Utility Reimbursement'],Displays the utility reimbursement amount on the household's certification that is effective as of the end of the period selected. This column is only available for clients with the Entrata Affordable product.,metric,currency,financial,core,high,low,60,4,['reports'],
payment_amount,Payment Amount,"['PAYMENT AMOUNT', 'Payment Amount']",The PAYMENT AMOUNT column will show the amount of the payment.,metric,currency,financial,core,medium,medium,59,13,['reports'],
annual_budget,Annual Budget,['Annual Budget'],The total amount included in the budget for the GL account.,metric,currency,financial,core,high,low,58,4,['reports'],
application_approved_cancelled,Application Approved (Cancelled),"['Application - Approved (Cancelled)', 'Application Approved (Cancelled)']",Counts the number of primary leads that reached a status of Application Approved and are cancelled/archived. For more information click here .,metric,integer,quantity,core,high,low,58,3,['reports'],
applications_approved_cancelled,Applications Approved (Cancelled),['Applications Approved (Cancelled)'],Counts the number of primary leads that reached a status of Application Approved and are cancelled/archived. For more information click here .,metric,integer,quantity,core,high,low,56,5,['reports'],
avg_scheduled_charges,Avg. Scheduled Charges,"['Avg Scheduled Charges', 'Avg. Scheduled Charges']",Displays an amount that represents the avg. current rent for all occupied or on notice inventory items that are associated to residents as of the end of the user-defined period. This will not consider any rentable items that do not have 'scheduled charges' values (zeroes) within the average.,metric,currency,financial,core,high,low,56,7,['reports'],
lease_rent,Lease Rent,['Lease Rent'],"Displays the monthly (non-prorated) amount of Rent-type scheduled recurring charges and credits that are set to be included in Effective Rent. For most lease intervals, this value will be as of the Lease End date or Move-out date, whichever comes first. For MTM lease intervals, only those in Past status will have this value be as of the Lease End date or Move-out date, whichever comes first. For Current/Notice MTM lease intervals, this value will be as of the day the report is generated. For Future MTM lease interval types, this value will be as of the Lease Start date (since there is no lease end date). If no value is available as of the point in time mentioned, this value will show blank so as to not skew the average Current Lease Rent calculated in the summary. This column is not affected by the Charge Codes filter.",metric,currency,financial,core,high,low,56,7,['reports'],
onsite_visit,Onsite Visit,"['ONSITE VISIT', 'Onsite Visit']","All onsite visits logged within the period selected. Deleted, missed, rescheduled, and cancelled tours are excluded. The setting to combine tours as onsite visits will not affect the report. A custom column to combine tours and onsite visits can be added using the formula tool.",metric,integer,quantity,core,medium,medium,56,9,['reports'],
total_average_row,Total/Average (Row),"['Total/Average (Row)', 'Total/Average (row)']","Display the total number of unit spaces listed along with the averages for Sqft, Lease Term, Deposit Charged, Deposit Held, Market Rent, Budgeted Rent, Advertised Rate, Scheduled Charges, and Posted Charges",metric,number,quantity,core,high,low,56,7,['reports'],
unapplied_credits,Unapplied Credits,"['UNAPPLIED CREDITS', 'Unapplied Credits']","Displays the total amount of unallocated credits (including concessions, deposit credits, etc.) as of the end of the period selected.",metric,currency,financial,core,high,low,55,6,['reports'],
deposit_required,Deposit Required,['Deposit Required'],"The Deposit Required column will display the deposit that has been setup and assigned to each unit/unit space that is displayed in the report. This column is disabled by default, and can be accessed via the Display Options tab.",metric,currency,financial,core,high,low,54,7,['reports'],
percent_change,% Change,['% Change'],This is the variance amount divided by the balance in the Comparative Period balances. This column will only appear when the Compare Periods filter is set to Yes.,metric,percent,percent,core,medium,medium,52,8,['reports'],
excluded_units,Excluded Units,['Excluded Units'],"Displays the count of excluded units as of the end of the period selected. Excluded units are managed under Setup >> Properties >> [Select Property] >> Property >> Floor Plans & Units >> Units >> [Select a Unit] >> Exclusion. Exclusion reasons include, but are not limited to: Hospitality Unit, Down Unit, Employee Unit, Model Unit, Admin Unit, Corporate Unit, and Construction Unit.",metric,integer,quantity,core,high,low,51,7,['reports'],
percent_of_income,% of Income,['% of Income'],This column displays the line item GL Account total as a percentage of total income.,metric,percent,percent,core,high,low,49,5,['reports'],
missed_tours,Missed Tours,['Missed Tours'],"Displays events of missed, cancelled or rescheduled tour. All tours with an event result of or similar to ""Missed"", ""Cancelled"", or ""Reschuled"" based on the property settings for visit/tour events. Deleted events not included.",metric,integer,quantity,core,high,low,49,1,['reports'],
one_time_concessions,One-time Concessions,"['One-Time Concessions', 'One-time (Concessions)', 'One-time Concessions']",Displays the total value of all scheduled and manual one-time non-Rent-type charges and credits from Charge Codes included in Effective Rent. Charge Codes can be included or excluded from Effective Rent under Setup >> Company >> Financial >> Charge Codes >> [Select Charge Code] >> Include in Effective Rent. This column is not affected by the Charge Codes filter.,metric,currency,financial,core,medium,medium,49,8,['reports'],
recurring_concessions,Recurring Concessions,"['Recurring (Concessions)', 'Recurring Concessions']","Displays the total value of all scheduled recurring non-Rent-type charges and credits from Charge Codes included in Effective Rent. Charge Codes can be included or excluded from Effective Rent under Setup >> Company >> Financial >> Charge Codes >> [Select Charge Code] >> Include in Effective Rent. Month-to-month lease intervals do not have scheduled recurring charges total value and therefore, Recurring Concessions is calculated as the sum of scheduled recurring non-Rent-type charges and credits included in Effective Rent as of the MTM Start date. This column is not affected by the Charge Codes filter.",metric,currency,financial,core,medium,medium,49,8,['reports'],
active_specials,Active Specials,['Active Specials'],"The Active Specials column will display all the active specials that are associated to the displayed unit in a comma separated list. This column will be disabled by default, and can be accessed via the Display Options tab.",metric,percent,percent,core,high,low,47,5,['reports'],
delinquency,Delinquency,['Delinquency'],Displays the total amount of unallocated charges that have not been paid as of the end of the period selected. This amount is the sum of Past Due and Current Due.,metric,currency,financial,core,medium,low,47,6,['reports'],
inactive_specials,Inactive Specials,['Inactive Specials'],"The Inactive Specials column will display all the inactive specials that are associated to the displayed unit in a comma separated list. This column will be disabled by default, and can be accessed via the Display Options tab.",metric,percent,percent,core,high,low,47,5,['reports'],
avg_days_to_tour,Avg Days to Tour,"['AVG DAYS TO TOUR', 'Avg Days to Tour']","Displays the average number of days from Created On to First Visit/Tour for leads. If a lead did not have a tour, then they will not be included in the calculation. If the average time between the leads is 0 then show ""0.00""",metric,integer,quantity,core,high,low,46,5,['reports'],
avg_scheduled_rent,Avg. Scheduled Rent,"['AVG. SCHEDULED RENT', 'Avg Scheduled Rent', 'Avg. Scheduled Rent']","This column will display a monetary value that represents the average SCHEDULED rent amount for occupied units. Scheduled Rent is the amortized total values of all charges and negative charges on the lease interval with charge codes of ""Rent"" type and all usages that have the designation Include In Effective Rent = ""Yes"". Amortized implies that once the total value of each charge is calculated and summed together, it is divided by the lease term length to get a monthly value. Lease term length is found by counting the number of months from lease start to earlier of move-out and lease end, rounded up. All month-to-month lease intervals will pull these same charges, but only pull the charges as of the MTM Start date as opposed to amortizing the total value.",metric,currency,financial,core,medium,medium,46,11,['reports'],
first_visits_tours,First Visits/Tours,['First Visits/Tours'],"Counts the number of primary leads with an initial onsite visit, property tour, or unit tour listed on the activity log. This column will exclude return visits. Events that are deleted from the activity log will not be included. Events with a missed, cancelled, or reschduled event are not included.",metric,integer,quantity,core,high,low,46,5,['reports'],
percent_occupied,% Occupied,"['% Occupied', '%_Occupied']","The % Occupied column will display the percentage of total units that are occupied (based on the 'as of date' of this section). An occupied unit is defined as any unit that is in an occupied no notice, notice rented, or notice unrented status. This column will not consider excluded units in its calculation",metric,percent,percent,core,medium,medium,45,11,['reports'],
bah_rate,BAH Rate,['BAH Rate'],Displays the amount the resident is entitled to based on their year and rank. The BAH Rate is found under Resident Profile >> Household >> [Select Primary Resident] >> Summary >> Military Career >> Rate Protected Amount. This column is only available for clients with the Entrata Military product.,metric,percent,percent,core,high,low,45,3,['reports'],
outgoing_call,Outgoing Call,['Outgoing Call'],All calls from the property staff to any prospect. Calls that are made to a lead in a Lease Approved/Future Resident status are not counted.,metric,integer,quantity,core,high,low,44,2,['reports'],
referred_contact,Referred Contact,['Referred Contact'],"Of the new leads, displays the number of leads that had an Original Contact Method of Referred Contact (contact made through submitting an application through AgentAccess)",metric,integer,quantity,core,high,low,44,1,['reports'],
accessible_amenities,Accessible Amenities,['Accessible Amenities'],"The Accessible Amenities column will display all of the amenities associated to the listed units that are flagged as accessible. The amenities that show up here will not show in the Amenities column, as they would then be listed twice.",metric,integer,quantity,core,high,low,43,5,['reports'],
contract_set_aside,Contract/Set-Aside,['Contract/Set-Aside'],"Displays the contract/set-aside that corresponds to the household as of the end of the period selected. If a household is certified under multiple Affordable programs (i.e. both HUD and Tax Credits) then each of those programs would be displayed, separated by commas. This column is only available for clients with the Entrata Affordable product.",metric,currency,financial,core,high,low,43,6,['reports'],
economic_and_physical_occupancy,Economic and Physical Occupancy,['Economic and Physical Occupancy'],This column will display a row for both Economic Occupancy and Physical Occupancy.,metric,percent,percent,core,high,low,43,2,['reports'],
manual_contacts_attempted,Manual Contacts Attempted,['Manual Contacts Attempted'],Count of all manual contacts attempted by the property to the lead.,metric,integer,quantity,core,high,low,42,7,['reports'],
market_sqft,Market/Sqft,"['Market / Sqft', 'Market/SQFT', 'Market/Sqft']","The Market/Sqft column will display an amount that represents the market rent amount per sqft of the unit/unit space. This column is disabled by default and can be accessed via the Display Options tab. This column header is dynamic, and may display 'SQFT', 'M2', or 'Unit of Area', depending on the property's setting for Unit of Measurement.",metric,number,quantity,core,high,low,42,7,['reports'],
applications_completed_cancelled,Applications Completed (Cancelled),['Applications Completed (Cancelled)'],Counts the number of primary leads that have reached a status of Application Partially Completed or Application Completed and are cancelled/archived with a reason other than denied. For more information click here .,metric,integer,quantity,core,high,low,41,2,['reports'],
deposit_held_type,Deposit Held Type,['Deposit Held Type'],"Displays the type of deposit held. Options include Traditional, 3rd Party, Both, None.",metric,currency,financial,core,high,low,41,2,['reports'],
economic_occupancy_row,Economic Occupancy (Row),['Economic Occupancy (Row)'],This displays the economic occupancy for the period as a percentage. This is calculated as (Non-Excluded Market Rent Total + Non-Excluded Vacancy Loss Total) / Non-Excluded Market Rent Total.,metric,percent,percent,core,high,low,41,2,['reports'],
physical_occupancy_row,Physical Occupancy (Row),['Physical Occupancy (Row)'],This displays the physical occupancy for the period as a percentage. This is calculated as the total number of occupied units / total number of rentable units.,metric,percent,percent,core,high,low,41,3,['reports'],
renewal_transfers,Renewal Transfers,['Renewal Transfers'],The Renewal Transfers column will display the leases that have had a renewal transfer performed or will have one performed in the selected period.,metric,integer,quantity,core,high,low,41,6,['reports'],
avg_sqft,Avg. Sqft,"['AVG. SQFT', 'Avg Sqft', 'Avg. Sqft']",The Avg. Sqft column will display the average square footage of each unit within each unit type/floor plan group. This value should be based on the sqft that has been entered on the unit level and not the unit type level,metric,number,quantity,core,medium,medium,40,9,['reports'],
online_chat,Online Chat,['Online Chat'],All online chats that are taken during the period selected. Chats that are missed or deleted from the activity log will not be included.,metric,integer,quantity,core,high,low,40,2,['reports'],
call_analysis_score,Call Analysis Score,['Call Analysis Score'],"For those using the Leasing Center product, this column will show the average score of phone call scorecards during the period selected.",metric,integer,quantity,core,high,low,39,2,['reports'],
incoming_call,Incoming Call,['Incoming Call'],"All calls from prospects to the property. Missed calls, voicemails, and calls that are received when the lead is in a Lease Approved/Future Resident status are not counted.",metric,integer,quantity,core,high,low,39,2,['reports'],
onsite_visits,Onsite Visits,['Onsite Visits'],"All onsite visits logged within the period selected. Deleted, missed, rescheduled, and cancelled tours are excluded. The setting to combine tours as onsite visits will not affect the report. A custom column to combine tours and onsite visits can be added using the formula tool.",metric,integer,quantity,core,medium,medium,39,10,['reports'],
past_due,Past Due,"['PAST DUE', 'Past Due']",Displays the total amount of unallocated charges due prior to the period selected.,metric,currency,financial,core,high,low,39,6,['reports'],
renewal_lease_approved,Renewal Lease Approved,['Renewal Lease Approved'],Counts the number of leases that have had a renewal lease approved in the period selected,metric,integer,quantity,core,high,low,38,4,['reports'],
budgeted_sqft,Budgeted/Sqft,['Budgeted/Sqft'],"The Budgeted/Sqft column will display an amount that represents the budgeted rent amount per sqft of the unit/unit space This column is disabled by default and can be accessed via the Display Options tab. This column header is dynamic, and may display 'SQFT', 'M2', or 'Unit of Area', depending on the property's setting for Unit of Measurement.",metric,number,quantity,core,high,low,37,6,['reports'],
percent_neglected_in_first_48_hours,% Neglected in First 48 Hours,['% Neglected in First 48 Hours'],Displays the percent of new leads that were neglected in the first 48 hours of creation.,metric,percent,percent,core,high,low,36,3,['reports'],
bed_bath,Bed/Bath,['Bed/Bath'],This column displays the Bedroom and Bathroom count of the unit that was offered to the lead.,metric,integer,quantity,core,high,low,36,1,['reports'],
floor_number,Floor Number,['Floor Number'],"This column will display the floor number that has been associated to the assigned unit. This information can be found in the setup section under setup, property, floor plans and units, site plans/floors.",metric,integer,quantity,core,high,low,36,4,['reports'],
head_of_household,Head of Household,['Head of Household'],This column displays the name of the household member who is flagged as Head of Household (HoH). Clicking on the name of the HoH will bring you to the Lead Summary tab of the lead's profile.,metric,integer,quantity,core,high,low,36,1,['reports'],
neglected_in_first_24_hours,Neglected in First 24 Hours,['Neglected in First 24 Hours'],"Displays the number of new leads that did not have a manual contact attempted in the first 24 hours. New leads that had a first event of call, visit/tour, or chat will not be included in this count because their first event counts as their successful contact, no additional contact attempt is needed. Manual Contact Attempts include events of: Outbound Email, Outgoing SMS, Outgoing Call, Onsite Visits, Unit Tours, and Property Tours. Outbound Emails/SMS will only be counted if they have been manually sent. Email/SMS Messages sent via message center, or automated by the system will not be included in the count.",metric,integer,quantity,core,high,low,36,3,['reports'],
neglected_in_first_48_hours,Neglected in First 48 Hours,['Neglected in First 48 Hours'],"Displays the number of new leads that did not have a manual contact attempted in the first 48 hours. New leads that had a first event of call, visit/tour, or chat will not be included in this count because their first event counts as their successful contact, no additional contact attempt is needed. Manual Contact Attempts include events of: Outbound Email, Outgoing SMS, Outgoing Call, Onsite Visits, Unit Tours, and Property Tours. Outbound Emails/SMS will only be counted if they have been manually sent. Email/SMS Messages sent via message center, or automated by the system will not be included in the count.",metric,integer,quantity,core,high,low,36,3,['reports'],
net_change,Net Change,['Net Change'],This column displays the difference between the Beginning and Ending Balance for the listed GL Account.,metric,currency,financial,core,high,low,36,6,['reports'],
renewal_offer_completed,Renewal Offer Completed,['Renewal Offer Completed'],Counts the number of leases that had a renewal offer completed in the period selected.,metric,integer,quantity,core,high,low,36,4,['reports'],
current_due,Current Due,"['CURRENT DUE', 'Current Due']",Displays the total amount of unallocated charges in the period selected.,metric,currency,financial,core,high,low,35,5,['reports'],
floor_title,Floor Title,['Floor Title'],"This column will display the floor title that has been associated to the assigned unit. This information can be found in the setup section under setup, property, floor plans and units, site plan/floors.",metric,integer,quantity,core,high,low,35,3,['reports'],
late_fee_formula,Late Fee Formula,['Late Fee Formula'],"This column will display the late fee formula name that is associated to each to the active lease that's displayed in the report; This column can potentially display multiple late fee formulas; if that's the case, this column will be a comma separated list. The late fee formula is setup on a property basis and is found under setup, properties, financial, delinquency, late fee formula.",metric,currency,financial,core,high,low,35,3,['reports'],
leased_percent,Leased (%),"['LEASED %', 'LEASED (%)', 'Leased %', 'Leased (%)']","A percentage calculated by taking the count of all Occupied No Notice, Notice Rented, Notice Unrented, and Vacant Rented units divided by the count of all rentable units.",metric,percent,percent,core,high,low,35,7,['reports'],
space_configuration,Space Configuration,['Space Configuration'],"This column displays the Space Configuration that is associated with the unit. This information is not found on the resident profile. It is found under setup, property, floor plans and units, units.",metric,percent,percent,core,high,low,35,3,['reports'],
applications_completed_toured_lead_conversions,Applications Completed - Toured Lead Conversions,['Applications Completed - Toured Lead Conversions'],Displays a count of applications that have toured/visited AND completed an application for the first time. (Partially Completed and Completed Applications are included in the count). This column will depend on the Tour Count filter selection.,metric,percent,percent,core,high,low,34,1,['reports'],
calls_toured_leads_by_original_contact_method,Calls - Toured Leads By Original Contact Method,['Calls - Toured Leads By Original Contact Method'],"The number of leads that have at least one entry on their activity log of a tour per the 'results based on' filter and 'tour count' filter, AND have a first event of a call. This column is hidden by default.",metric,integer,quantity,core,high,low,34,2,['reports'],
chats_toured_leads_by_original_contact_method,Chats - Toured Leads By Original Contact Method,['Chats - Toured Leads By Original Contact Method'],"The number of leads that have at least one entry on their activity log of a tour per the 'results based on' filter and 'tour count' filter, (tours are defined per the tour count filter), AND have a first event of chat. This column is hidden by default.",metric,integer,quantity,core,high,low,34,2,['reports'],
